country,artist_name,rank,listeners_in_country,artist_norm
Australia,PinkPantheress,1,25007,pinkpantheress
Australia,Kanye West,2,20820,kanye west
Australia,Radiohead,3,20329,radiohead
Australia,Charli xcx,4,20196,charli xcx
Australia,Kendrick Lamar,5,20070,kendrick lamar
Australia,Tame Impala,6,19900,tame impala
Australia,Drake,7,19762,drake
Australia,The Weeknd,8,18782,the weeknd
Australia,"Tyler, The Creator",9,18544,"tyler, the creator"
Australia,Rihanna,10,17971,rihanna
Australia,Taylor Swift,11,17970,taylor swift
Australia,Frank Ocean,12,16856,frank ocean
Australia,Ariana Grande,13,16307,ariana grande
Australia,Sabrina Carpenter,14,16036,sabrina carpenter
Australia,Bruno Mars,15,15965,bruno mars
Australia,A$AP Rocky,16,15755,a$ap rocky
Australia,Lady Gaga,17,15595,lady gaga
Australia,Fleetwood Mac,18,15146,fleetwood mac
Australia,Billie Eilish,19,15129,billie eilish
Australia,Gorillaz,20,14952,gorillaz
Australia,Harry Styles,21,14871,harry styles
Australia,Paramore,22,14822,paramore
Australia,Lana Del Rey,23,14681,lana del rey
Australia,Olivia Dean,24,14448,olivia dean
Australia,Chappell Roan,25,14024,chappell roan
Australia,Arctic Monkeys,26,13874,arctic monkeys
Australia,Mitski,27,13475,mitski
Australia,sombr,28,13291,sombr
Australia,Childish Gambino,29,13154,childish gambino
Australia,Don Toliver,30,13129,don toliver
Australia,SZA,31,13066,sza
Australia,Clairo,32,12944,clairo
Australia,Doja Cat,33,12816,doja cat
Australia,Justin Bieber,34,12789,justin bieber
Australia,Dominic Fike,35,12470,dominic fike
Australia,Travis Scott,36,12403,travis scott
Australia,Lorde,37,12376,lorde
Australia,beabadoobee,38,12334,beabadoobee
Australia,Deftones,39,11947,deftones
Australia,The Smiths,40,11740,the smiths
Australia,The Marías,41,11700,the marías
Australia,Olivia Rodrigo,42,11452,olivia rodrigo
Australia,Playboi Carti,43,11366,playboi carti
Australia,Coldplay,44,11323,coldplay
Australia,Mac Miller,45,11308,mac miller
Australia,Calvin Harris,46,11212,calvin harris
Australia,Tate McRae,47,11200,tate mcrae
Australia,Michael Jackson,48,11177,michael jackson
Australia,Linkin Park,49,11147,linkin park
Australia,Future,50,11085,future
Austria,Rihanna,1,1662,rihanna
Austria,Linkin Park,2,1654,linkin park
Austria,Lady Gaga,3,1578,lady gaga
Austria,The Weeknd,4,1535,the weeknd
Austria,PinkPantheress,5,1521,pinkpantheress
Austria,Taylor Swift,6,1471,taylor swift
Austria,Kanye West,7,1457,kanye west
Austria,Gorillaz,8,1445,gorillaz
Austria,Charli xcx,9,1422,charli xcx
Austria,Tame Impala,10,1416,tame impala
Austria,Radiohead,11,1376,radiohead
Austria,Lana Del Rey,12,1351,lana del rey
Austria,Drake,13,1326,drake
Austria,A$AP Rocky,14,1318,a$ap rocky
Austria,Kendrick Lamar,15,1288,kendrick lamar
Austria,Billie Eilish,16,1220,billie eilish
Austria,Twenty One Pilots,17,1219,twenty one pilots
Austria,Bad Bunny,18,1206,bad bunny
Austria,The Neighbourhood,19,1188,the neighbourhood
Austria,Arctic Monkeys,20,1104,arctic monkeys
Austria,Harry Styles,21,1103,harry styles
Austria,Bruno Mars,22,1096,bruno mars
Austria,Travis Scott,23,1074,travis scott
Austria,sombr,24,1057,sombr
Austria,David Guetta,25,1052,david guetta
Austria,Don Toliver,26,1040,don toliver
Austria,Ariana Grande,27,1033,ariana grande
Austria,"Tyler, The Creator",28,1023,"tyler, the creator"
Austria,Mitski,29,1014,mitski
Austria,Coldplay,30,1005,coldplay
Austria,Eminem,31,1003,eminem
Austria,Fleetwood Mac,32,984,fleetwood mac
Austria,Sabrina Carpenter,33,973,sabrina carpenter
Austria,Future,34,964,future
Austria,Calvin Harris,35,953,calvin harris
Austria,Dominic Fike,36,948,dominic fike
Austria,Zara Larsson,37,926,zara larsson
Austria,Michael Jackson,38,924,michael jackson
Austria,Katy Perry,39,905,katy perry
Austria,Red Hot Chili Peppers,40,898,red hot chili peppers
Austria,PASHANIM,41,897,pashanim
Austria,Pitbull,42,896,pitbull
Austria,Doja Cat,43,882,doja cat
Austria,Playboi Carti,44,880,playboi carti
Austria,Tate McRae,45,876,tate mcrae
Austria,Frank Ocean,46,868,frank ocean
Austria,Britney Spears,47,850,britney spears
Austria,Black Eyed Peas,48,842,black eyed peas
Austria,Nirvana,49,832,nirvana
Austria,Queen,50,829,queen
Belgium,Tame Impala,1,3300,tame impala
Belgium,PinkPantheress,2,3293,pinkpantheress
Belgium,Gorillaz,3,3193,gorillaz
Belgium,Radiohead,4,3183,radiohead
Belgium,Rihanna,5,3110,rihanna
Belgium,Taylor Swift,6,2921,taylor swift
Belgium,The Weeknd,7,2861,the weeknd
Belgium,Kanye West,8,2843,kanye west
Belgium,Kendrick Lamar,9,2793,kendrick lamar
Belgium,Billie Eilish,10,2747,billie eilish
Belgium,Bruno Mars,11,2711,bruno mars
Belgium,Lady Gaga,12,2706,lady gaga
Belgium,Charli xcx,13,2704,charli xcx
Belgium,Arctic Monkeys,14,2648,arctic monkeys
Belgium,Harry Styles,15,2644,harry styles
Belgium,Drake,16,2634,drake
Belgium,Fleetwood Mac,17,2595,fleetwood mac
Belgium,Lana Del Rey,18,2567,lana del rey
Belgium,Bad Bunny,19,2510,bad bunny
Belgium,Linkin Park,20,2412,linkin park
Belgium,Coldplay,21,2370,coldplay
Belgium,Ariana Grande,22,2318,ariana grande
Belgium,Zara Larsson,23,2261,zara larsson
Belgium,A$AP Rocky,24,2242,a$ap rocky
Belgium,sombr,25,2214,sombr
Belgium,"Tyler, The Creator",26,2161,"tyler, the creator"
Belgium,Sabrina Carpenter,27,2097,sabrina carpenter
Belgium,RAYE,28,2047,raye
Belgium,Olivia Dean,29,2036,olivia dean
Belgium,Calvin Harris,30,1995,calvin harris
Belgium,Twenty One Pilots,31,1994,twenty one pilots
Belgium,Michael Jackson,32,1969,michael jackson
Belgium,David Guetta,33,1957,david guetta
Belgium,The Cure,34,1951,the cure
Belgium,Mitski,35,1905,mitski
Belgium,Frank Ocean,36,1894,frank ocean
Belgium,Red Hot Chili Peppers,37,1866,red hot chili peppers
Belgium,The Neighbourhood,38,1836,the neighbourhood
Belgium,Daft Punk,39,1818,daft punk
Belgium,Eminem,40,1788,eminem
Belgium,The Smiths,41,1761,the smiths
Belgium,Travis Scott,42,1731,travis scott
Belgium,Olivia Rodrigo,43,1730,olivia rodrigo
Belgium,The Beatles,44,1726,the beatles
Belgium,Queen,45,1715,queen
Belgium,Nirvana,46,1710,nirvana
Belgium,Tate McRae,47,1707,tate mcrae
Belgium,Justin Bieber,48,1699,justin bieber
Belgium,Beyoncé,49,1659,beyoncé
Belgium,Djo,50,1659,djo
Canada,Drake,1,30347,drake
Canada,PinkPantheress,2,28798,pinkpantheress
Canada,Kanye West,3,27008,kanye west
Canada,The Weeknd,4,26993,the weeknd
Canada,Kendrick Lamar,5,26391,kendrick lamar
Canada,Radiohead,6,25086,radiohead
Canada,"Tyler, The Creator",7,24246,"tyler, the creator"
Canada,Rihanna,8,23472,rihanna
Canada,Charli xcx,9,22283,charli xcx
Canada,Bruno Mars,10,21848,bruno mars
Canada,Tame Impala,11,21812,tame impala
Canada,Taylor Swift,12,21728,taylor swift
Canada,Frank Ocean,13,21217,frank ocean
Canada,A$AP Rocky,14,20796,a$ap rocky
Canada,Ariana Grande,15,20267,ariana grande
Canada,Lady Gaga,16,20009,lady gaga
Canada,Don Toliver,17,19762,don toliver
Canada,Mitski,18,19103,mitski
Canada,Sabrina Carpenter,19,18795,sabrina carpenter
Canada,Travis Scott,20,18387,travis scott
Canada,Lana Del Rey,21,18308,lana del rey
Canada,Gorillaz,22,18032,gorillaz
Canada,Future,23,17991,future
Canada,Arctic Monkeys,24,17907,arctic monkeys
Canada,Paramore,25,17757,paramore
Canada,Playboi Carti,26,17596,playboi carti
Canada,Billie Eilish,27,17370,billie eilish
Canada,Fleetwood Mac,28,17315,fleetwood mac
Canada,SZA,29,17225,sza
Canada,Lil Uzi Vert,30,16994,lil uzi vert
Canada,Justin Bieber,31,16876,justin bieber
Canada,Childish Gambino,32,16865,childish gambino
Canada,The Marías,33,16839,the marías
Canada,Mac Miller,34,16144,mac miller
Canada,Clairo,35,16134,clairo
Canada,Harry Styles,36,16004,harry styles
Canada,Doja Cat,37,15766,doja cat
Canada,Bad Bunny,38,15745,bad bunny
Canada,beabadoobee,39,15729,beabadoobee
Canada,Deftones,40,15652,deftones
Canada,Chappell Roan,41,15293,chappell roan
Canada,The Smiths,42,15144,the smiths
Canada,The Neighbourhood,43,15141,the neighbourhood
Canada,J. Cole,44,14666,j. cole
Canada,Baby Keem,45,14622,baby keem
Canada,Coldplay,46,14484,coldplay
Canada,TV Girl,47,14406,tv girl
Canada,Joji,48,13749,joji
Canada,Weezer,49,13713,weezer
Canada,Dominic Fike,50,13551,dominic fike
Czech Republic,Linkin Park,1,2247,linkin park
Czech Republic,Gorillaz,2,1811,gorillaz
Czech Republic,Radiohead,3,1757,radiohead
Czech Republic,Charli xcx,4,1726,charli xcx
Czech Republic,PinkPantheress,5,1654,pinkpantheress
Czech Republic,Lady Gaga,6,1654,lady gaga
Czech Republic,Rihanna,7,1575,rihanna
Czech Republic,Twenty One Pilots,8,1507,twenty one pilots
Czech Republic,Lana Del Rey,9,1504,lana del rey
Czech Republic,Tame Impala,10,1485,tame impala
Czech Republic,Taylor Swift,11,1481,taylor swift
Czech Republic,Kanye West,12,1435,kanye west
Czech Republic,The Weeknd,13,1410,the weeknd
Czech Republic,A$AP Rocky,14,1300,a$ap rocky
Czech Republic,Arctic Monkeys,15,1279,arctic monkeys
Czech Republic,Billie Eilish,16,1251,billie eilish
Czech Republic,The Neighbourhood,17,1248,the neighbourhood
Czech Republic,Viktor Sheen,18,1204,viktor sheen
Czech Republic,David Guetta,19,1173,david guetta
Czech Republic,Yzomandias,20,1166,yzomandias
Czech Republic,sombr,21,1164,sombr
Czech Republic,Harry Styles,22,1138,harry styles
Czech Republic,Eminem,23,1132,eminem
Czech Republic,Red Hot Chili Peppers,24,1126,red hot chili peppers
Czech Republic,Kendrick Lamar,25,1117,kendrick lamar
Czech Republic,Calin,26,1116,calin
Czech Republic,Coldplay,27,1106,coldplay
Czech Republic,Nirvana,28,1088,nirvana
Czech Republic,Mitski,29,1069,mitski
Czech Republic,"Tyler, The Creator",30,1069,"tyler, the creator"
Czech Republic,Calvin Harris,31,1039,calvin harris
Czech Republic,Katy Perry,32,1017,katy perry
Czech Republic,System of a Down,33,999,system of a down
Czech Republic,Bring Me the Horizon,34,992,bring me the horizon
Czech Republic,Sabrina Carpenter,35,983,sabrina carpenter
Czech Republic,Deftones,36,976,deftones
Czech Republic,Zara Larsson,37,973,zara larsson
Czech Republic,Travis Scott,38,969,travis scott
Czech Republic,Green Day,39,964,green day
Czech Republic,Pitbull,40,958,pitbull
Czech Republic,Drake,41,942,drake
Czech Republic,Tate McRae,42,912,tate mcrae
Czech Republic,Britney Spears,43,903,britney spears
Czech Republic,Fleetwood Mac,44,901,fleetwood mac
Czech Republic,Ariana Grande,45,897,ariana grande
Czech Republic,Black Eyed Peas,46,886,black eyed peas
Czech Republic,Queen,47,883,queen
Czech Republic,Imagine Dragons,48,881,imagine dragons
Czech Republic,Limp Bizkit,49,880,limp bizkit
Czech Republic,The Smiths,50,878,the smiths
Denmark,Kanye West,1,3285,kanye west
Denmark,Drake,2,2979,drake
Denmark,Rihanna,3,2888,rihanna
Denmark,The Weeknd,4,2853,the weeknd
Denmark,Kendrick Lamar,5,2751,kendrick lamar
Denmark,Bruno Mars,6,2370,bruno mars
Denmark,APHACA,7,2352,aphaca
Denmark,Frank Ocean,8,2343,frank ocean
Denmark,Tame Impala,9,2258,tame impala
Denmark,PinkPantheress,10,2229,pinkpantheress
